lesson_id,source_path,file_name,extension,file_type,duration,duration_seconds,size_bytes,size_mb,last_write_time,has_transcript,transcript_source,process_status,notes,audio_codec,video_codec,width,height
L0001,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第一课：为什么要学习体位技巧.mp4,第一课：为什么要学习体位技巧.mp4,.mp4,video,00:05:11.133,311.133,472973850,451.06,2025-03-14 10:23:21,false,,pending_asr,,aac,h264,1920,1080
L0002,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第七课：后入式.mp4,第七课：后入式.mp4,.mp4,video,00:09:24.849,564.849,445714317,425.07,2025-03-14 12:53:39,false,,pending_asr,,aac,h264,1920,1080
L0003,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第三课：进行技巧体位课的准备.mp4,第三课：进行技巧体位课的准备.mp4,.mp4,video,00:03:45.953,225.953,343792526,327.87,2025-03-14 11:39:43,false,,pending_asr,,aac,h264,1920,1080
L0004,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第二课：什么人适合体位技巧课.mp4,第二课：什么人适合体位技巧课.mp4,.mp4,video,00:06:12.355,372.355,566077054,539.85,2025-03-14 11:34:59,false,,pending_asr,,aac,h264,1920,1080
L0005,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第五课：女上位式.mp4,第五课：女上位式.mp4,.mp4,video,00:13:36.042,816.042,1034467656,986.55,2025-03-14 12:40:09,false,,pending_asr,,aac,h264,1920,1080
L0006,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第六课：侧卧式.mp4,第六课：侧卧式.mp4,.mp4,video,00:09:55.267,595.267,319774305,304.96,2025-03-14 12:44:27,false,,pending_asr,,aac,h264,1920,1080
L0007,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第四课：经典传教士.mp4,第四课：经典传教士.mp4,.mp4,video,00:07:59.121,479.121,270413362,257.89,2025-03-14 11:48:55,false,,pending_asr,,aac,h264,1920,1080
L0008,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8339.MP4,C8339.MP4,.mp4,video,00:08:35.040,515.04,3624269356,3456.37,2025-03-06 18:55:08,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0009,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8340.MP4,C8340.MP4,.mp4,video,00:06:25.920,385.92,2718235668,2592.31,2025-03-06 19:02:59,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0010,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8341.MP4,C8341.MP4,.mp4,video,00:03:52.320,232.32,1644417684,1568.24,2025-03-06 19:07:47,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0011,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8342.MP4,C8342.MP4,.mp4,video,00:08:28.320,508.32,3590711592,3424.37,2025-03-06 19:21:05,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0012,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8343.MP4,C8343.MP4,.mp4,video,00:09:51.840,591.84,4161178348,3968.41,2025-03-06 19:33:11,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0013,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8344.MP4,C8344.MP4,.mp4,video,00:04:15.360,255.36,1812201268,1728.25,2025-03-06 19:39:28,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0014,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8345.MP4,C8345.MP4,.mp4,video,00:10:24.000,624.0,4396090916,4192.44,2025-03-06 19:50:39,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0015,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8346.MP4,C8346.MP4,.mp4,video,00:10:18.240,618.24,4328979052,4128.44,2025-03-06 20:02:18,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0016,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9260.MP4,C9260.MP4,.mp4,video,00:08:35.040,515.04,3624269120,3456.37,2025-03-06 01:09:17,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0017,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9261.MP4,C9261.MP4,.mp4,video,00:06:26.880,386.88,2718236028,2592.31,2025-03-06 01:17:09,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0018,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9262.MP4,C9262.MP4,.mp4,video,00:03:51.840,231.84,1644417212,1568.24,2025-03-06 01:21:55,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0019,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9263.MP4,C9263.MP4,.mp4,video,00:08:27.840,507.84,3590711236,3424.37,2025-03-06 01:35:13,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0020,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9264.MP4,C9264.MP4,.mp4,video,00:09:50.880,590.88,4161177756,3968.41,2025-03-06 01:47:19,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0021,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9265.MP4,C9265.MP4,.mp4,video,00:04:14.880,254.88,1812200916,1728.25,2025-03-06 01:53:37,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0022,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9266.MP4,C9266.MP4,.mp4,video,00:10:23.520,623.52,4396090432,4192.44,2025-03-06 02:04:47,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0023,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9267.MP4,C9267.MP4,.mp4,video,00:10:18.240,618.24,4362533248,4160.44,2025-03-06 02:16:28,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0024,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0257.MP4,C0257.MP4,.mp4,video,00:02:50.170,170.17,1208194685,1152.22,2025-02-06 07:37:48,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0025,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0258.MP4,C0258.MP4,.mp4,video,00:23:53.435,1433.435,9966677873,9504.96,2025-02-06 08:04:39,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0026,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0259.MP4,C0259.MP4,.mp4,video,00:13:06.290,786.29,5469988329,5216.59,2025-02-06 08:23:05,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0027,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0260.MP4,C0260.MP4,.mp4,video,00:09:03.545,543.545,3792105285,3616.43,2025-02-06 08:43:07,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0028,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0261.MP4,C0261.MP4,.mp4,video,00:06:41.405,401.405,2818943261,2688.35,2025-02-06 08:54:33,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0029,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0262.MP4,C0262.MP4,.mp4,video,00:01:31.095,91.095,637722899,608.18,2025-02-06 09:02:38,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0030,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0263.MP4,C0263.MP4,.mp4,video,00:00:05.005,5.005,67246973,64.13,2025-02-06 09:02:50,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0031,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0264.MP4,C0264.MP4,.mp4,video,00:09:40.580,580.58,3993453621,3808.45,2025-02-06 09:12:33,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0032,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0265.MP4,C0265.MP4,.mp4,video,00:00:17.020,17.02,134362907,128.14,2025-02-06 09:15:04,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0033,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0266.MP4,C0266.MP4,.mp4,video,00:00:13.015,13.015,100806121,96.14,2025-02-06 09:15:32,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0034,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9679.MP4,C9679.MP4,.mp4,video,00:02:51.171,171.171,1208195427,1152.22,2022-04-07 02:43:53,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0035,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9680.MP4,C9680.MP4,.mp4,video,00:23:53.932,1433.932,10201559347,9728.97,2022-04-07 03:10:44,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0036,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9681.MP4,C9681.MP4,.mp4,video,00:13:06.285,786.285,5604206199,5344.59,2022-04-07 03:29:09,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0037,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9682.MP4,C9682.MP4,.mp4,video,00:09:03.543,543.543,3892768723,3712.43,2022-04-07 03:49:12,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0038,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9683.MP4,C9683.MP4,.mp4,video,00:06:41.401,401.401,2852497835,2720.35,2022-04-07 04:00:37,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0039,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9684.MP4,C9684.MP4,.mp4,video,00:01:38.599,98.599,704836317,672.18,2022-04-07 04:08:49,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0040,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9685.MP4,C9685.MP4,.mp4,video,00:09:40.580,580.58,4127671544,3936.45,2022-04-07 04:18:37,false,,pending_asr,,pcm_s16be,h264,1920,1080
L0041,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第一课女性常见花园问题.mp4,第一课女性常见花园问题.mp4,.mp4,video,00:14:52.033,892.033,1792550556,1709.51,2023-12-11 10:42:50,false,,pending_asr,,aac,h264,1920,1080
L0042,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第七课揭秘爱情肌肉垂吊转圈的方法.mp4,第七课揭秘爱情肌肉垂吊转圈的方法.mp4,.mp4,video,00:10:10.337,610.337,984449021,938.84,2023-12-11 12:10:29,false,,pending_asr,,aac,h264,1920,1080
L0043,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第三课花园护理六大雷区.mp4,第三课花园护理六大雷区.mp4,.mp4,video,00:06:46.500,406.5,808369968,770.92,2023-12-11 11:13:44,false,,pending_asr,,aac,h264,1920,1080
L0044,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第九课如何跳好爱情双人舞.mp4,第九课如何跳好爱情双人舞.mp4,.mp4,video,00:09:48.348,588.348,956281347,911.98,2023-12-11 13:42:42,false,,pending_asr,,aac,h264,1920,1080
L0045,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第二课花园九型及配型.mp4,第二课花园九型及配型.mp4,.mp4,video,00:10:34.000,634.0,1266810736,1208.12,2023-12-11 12:37:49,false,,pending_asr,,aac,h264,1920,1080
L0046,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第五课舞动爱情肌.mp4,第五课舞动爱情肌.mp4,.mp4,video,00:22:30.933,1350.933,2714750853,2588.99,2023-12-11 12:11:25,false,,pending_asr,,aac,h264,1920,1080
L0047,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第八课双人舞跳不好的原因.mp4,第八课双人舞跳不好的原因.mp4,.mp4,video,00:10:07.853,607.853,987799430,942.04,2023-12-11 13:34:38,false,,pending_asr,,aac,h264,1920,1080
L0048,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第六课如何让爱情肌紧致如初.mp4,第六课如何让爱情肌紧致如初.mp4,.mp4,video,00:03:29.583,209.583,337764083,322.12,2023-12-11 12:29:36,false,,pending_asr,,aac,h264,1920,1080
L0049,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第十课好体位让你快乐双人舞.mp4,第十课好体位让你快乐双人舞.mp4,.mp4,video,00:09:47.234,587.234,952692985,908.56,2023-12-11 13:47:15,false,,pending_asr,,aac,h264,1920,1080
L0050,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第四课如何做花园SPA.mp4,第四课如何做花园SPA.mp4,.mp4,video,00:08:23.700,503.7,1004563128,958.03,2023-12-11 11:27:34,false,,pending_asr,,aac,h264,1920,1080
L0051,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一、荷花摇摆-进度条版.mp4,一、荷花摇摆-进度条版.mp4,.mp4,video,00:27:26.600,1646.6,2484748746,2369.64,2025-11-24 20:27:45,false,,pending_asr,,aac,h264,1080,1920
