session_id,semantic_event_id,start_ms,end_ms,observed_action,facial_expression,gaze_target,body_posture,hand_gesture,courseware_interaction,action_observation_status,action_confidence,speaking_rate_chars_per_sec,pause_before_ms,pause_after_ms,prosody_label,volume_change,prosody_status,evidence_ref,completion_status
latest_live_01,latest_live_01-SEM0001-000000000160,160,86000,站立讲解,微笑,镜头方向,直立,手势辅助讲解,无,observed_by_qwen_vl_window,0.98,3.04,1087,1592,平稳,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0001_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0002-000000088920,88920,118290,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.07,864,1266,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0003-000000118450,118450,127370,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.44,450,830,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0004-000000133890,133890,147930,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,3.58,640,1146.7,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0005-000000158010,158010,184780,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,4.9,1230,1275.7,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0006-000000192060,192060,210260,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.2,680,280,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0007-000000210620,210620,243910,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.92,325.6,363.3,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0008-000000244610,244610,280820,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.03,415,260,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0009-000000280900,280900,322560,speaking,neutral,camera,standing,gesturing with hands,presenting on-screen text,observed_by_qwen_vl_window,0.98,5.88,168,176,clear_and_calm,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0010-000000322680,322680,344780,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.14,225,225,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
