session_id,reply_link_id,comment_id,comment_first_seen_ms,candidate_reply_event_id,candidate_reply_start_ms,response_link_type,response_latency_ms,link_evidence,alternative_link_candidates,confidence,arbitration_status,completion_status
latest_live_01,latest_live_01-RPLY00001,latest_live_01-COM00001,0,latest_live_01-SEM0001-000000000160,160,insufficient_source_evidence,160,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00002,latest_live_01-COM00002,0,latest_live_01-SEM0001-000000000160,160,insufficient_source_evidence,160,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00003,latest_live_01-COM00003,300000,latest_live_01-SEM0010-000000322680,322680,insufficient_source_evidence,22680,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00004,latest_live_01-COM00004,300000,latest_live_01-SEM0010-000000322680,322680,insufficient_source_evidence,22680,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00005,latest_live_01-COM00005,300000,latest_live_01-SEM0010-000000322680,322680,insufficient_source_evidence,22680,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00006,latest_live_01-COM00006,600000,latest_live_01-SEM0023-000000592680,592680,topic_related_not_causal,-7320,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00007,latest_live_01-COM00007,600000,latest_live_01-SEM0023-000000592680,592680,topic_related_not_causal,-7320,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00008,latest_live_01-COM00008,600000,latest_live_01-SEM0023-000000592680,592680,topic_related_not_causal,-7320,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00009,latest_live_01-COM00009,900000,latest_live_01-SEM0039-000000896920,896920,topic_related_not_causal,-3080,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00010,latest_live_01-COM00010,900000,latest_live_01-SEM0039-000000896920,896920,topic_related_not_causal,-3080,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00011,latest_live_01-COM00011,900000,latest_live_01-SEM0039-000000896920,896920,topic_related_not_causal,-3080,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,prompted_comment;topic_related_not_causal;unanswered,0.22,topic_related_not_causal,partial
latest_live_01,latest_live_01-RPLY00012,latest_live_01-COM00012,1200000,latest_live_01-SEM0046-000001214480,1214480,insufficient_source_evidence,14480,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
latest_live_01,latest_live_01-RPLY00013,latest_live_01-COM00013,1500000,latest_live_01-SEM0061-000001501960,1501960,insufficient_source_evidence,1960,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,prompted_comment;topic_related_not_causal;unanswered,0.35,insufficient_source_evidence,partial
