priority_rank,priority_score,session_id,review_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,review_reason,evidence_refs,current_ai_status,suggested_review_action,completion_status
1,86,latest_live_01,MR-AUDIO-latest_live_01-A000004,latest_live_01-A000004,,27370,00:00:27,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
2,86,latest_live_01,MR-AUDIO-latest_live_01-A000013,latest_live_01-A000013,,100280,00:01:40,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
3,86,latest_live_01,MR-AUDIO-latest_live_01-A000017,latest_live_01-A000017,,116050,00:01:56,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
4,86,latest_live_01,MR-AUDIO-latest_live_01-A000023,latest_live_01-A000023,,129050,00:02:09,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
5,86,latest_live_01,MR-AUDIO-latest_live_01-A000027,latest_live_01-A000027,,149690,00:02:29,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
6,86,latest_live_01,MR-AUDIO-latest_live_01-A000035,latest_live_01-A000035,,185780,00:03:05,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
7,86,latest_live_01,MR-AUDIO-latest_live_01-A000085,latest_live_01-A000085,,448040,00:07:28,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
8,86,latest_live_01,MR-AUDIO-latest_live_01-A000156,latest_live_01-A000156,,804760,00:13:24,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
9,86,latest_live_01,MR-AUDIO-latest_live_01-A000200,latest_live_01-A000200,,994110,00:16:34,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
10,86,latest_live_01,MR-AUDIO-latest_live_01-A000301,latest_live_01-A000301,,1607010,00:26:47,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
