session_id,semantic_event_id,start_ms,end_ms,duration_ms,event_type,live_stage,utterance_function,source_audio_segment_ids,source_visual_window_ids,source_comment_ids,trigger_source,text_summary_clean,semantic_confidence,course_alignment_status,reply_relation_status,action_observation_status,prosody_status,completion_status
latest_live_01,latest_live_01-SEM0001-000000000160,160,86000,85840,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000001;latest_live_01-A000002;latest_live_01-A000003;latest_live_01-A000005;latest_live_01-A000006;latest_live_01-A000007;latest_live_01-A000008;latest_live_01-A000009;latest_live_01-A000010;latest_live_01-A000011,,latest_live_01-COM00001;latest_live_01-COM00002,asr_host_speech,做得很好，真的没关系。 你没什么良心，就就这样把抛弃。 我真是没什么出息，对你还放不下去。 喝一杯，请你走路，不必回头。 你走后，酒吧门口，我走了一面，爱又飞了。 很火，我说算你狠，算用无辜的眼神，谎话说了两次，我就当真。 我说算我笨，软不隆冬的耳根，只为一时的气氛，搞一肚子的气氛。 美到过去就立刻让我血冲到脑子里去，我的心里只会永远的恨你。 你跟着别人想溜，好去丢我一个人在这里吹冷空气。 我和我的正好真的没关系。,0.804,no_course_match,candidate_relation_arbitrated_insufficient_source_evidence,observed_by_qwen_vl_window,derived_from_asr_timestamps_volume_not_measured,partial
latest_live_01,latest_live_01-SEM0002-000000088920,88920,118290,29370,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000012;latest_live_01-A000014;latest_live_01-A000015;latest_live_01-A000016;latest_live_01-A000018,,,asr_host_speech,今天穿了一套，懂的我要声援一下我们的星爷，功夫女足。 你要学的那个吕正里白的陈小春，否则就注定要当一辈子的光棍。 一看见你，我就想冲过去，就立刻让我血冲到脑子里去。 我的心里只会永远的恨。 这是谁？,0.812,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0003-000000118450,118450,127370,8920,comment_response_candidate,interaction_or_reply,answer_or_clarify_candidate,latest_live_01-A000019;latest_live_01-A000020;latest_live_01-A000021;latest_live_01-A000022,,,asr_host_speech,心仪宝贝，怎么会有这个、这个、这个表情？ 哎，还可以！ 哎，评论区还可以发这个表情啊！ 这个小猪猪好可爱！,0.854,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0004-000000133890,133890,147930,14040,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000024;latest_live_01-A000025;latest_live_01-A000026,,,asr_host_speech,我的心里只会永远的恨你。 你跟着别人吃香又喝气，丢我在这里吹冷空气。 我会活得正好，没没关系。,0.768,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0005-000000158010,158010,184780,26770,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000028;latest_live_01-A000029;latest_live_01-A000030;latest_live_01-A000031;latest_live_01-A000032;latest_live_01-A000033;latest_live_01-A000034,,,asr_host_speech,还可以发这个表情包！ 今天很帅是不是？ 好看吧？ 给你们秀两招！ 可是不会一杯二锅头哦，呛得眼泪流哦！ 圣诞！ 好汉不回头，一杯二锅头，香得眼泪流。,0.846,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0006-000000192060,192060,210260,18200,engagement_block,opening_or_engagement,welcome_or_warmup_candidate,latest_live_01-A000036;latest_live_01-A000037;latest_live_01-A000038;latest_live_01-A000039,,,asr_host_speech,ok，好，欢迎大家等待热身的时间啊，唱一首歌给大家。 好，算你狠。 哎呀，这首歌也是伴随着青春那个叛逆的青春期，那个时候看到三鸡哥，看到陈小春，看到陈浩南，有没有？ 哎呀，所以每一代你看都有每一代的追星梦，对不对？,0.889,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0007-000000210620,210620,243910,33290,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000040;latest_live_01-A000041;latest_live_01-A000042;latest_live_01-A000043;latest_live_01-A000044;latest_live_01-A000045;latest_live_01-A000046;latest_live_01-A000047;latest_live_01-A000048,,,asr_host_speech,小的时候呢，我们追古惑仔，现在我们追什么？ 功夫女足。 啊，所以今天我特地换上了一身功夫女族的服装，来声援一下星爷啊！ 我觉得周星驰真的是一代人的回忆。 可能以前看他呢，只是觉得很无厘头，对吧？ 很搞笑啊！ 但是你会发现，其实他的每一部电影都非常的经典，且很值得回味。 里面有很多思考、有很多启发，还有很多作为小人物能够感受到共鸣的点。 所以，你们有没有去看呢？,0.95,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0008-000000244610,244610,280820,36210,comment_response_candidate,interaction_or_reply,answer_or_clarify_candidate,latest_live_01-A000049;latest_live_01-A000050;latest_live_01-A000051;latest_live_01-A000052,,,asr_host_speech,来，有看过的姐妹们，来 q 个小一一，把赞赞赞点起来一下啊。 然后呢，我觉得，你看，就是为什么周星驰他在港圈的这个地位能够那么高，大家都叫他星爷，也只有这一个了。 就是他的影片不只是他的票房很厉害，而是他有很强的家国情怀。 所以你发现他的电影当中很多其实都是在弘扬我们中国的文化，然后呢用这种我们所谓的这种搞笑的、无厘头的方式，但是却让大家……啊，就是去对中国的文化、中国功夫、中国的足球，然后呢，有了非常多的这种就是追捧、热爱。,0.942,no_course_match,insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
latest_live_01,latest_live_01-SEM0009-000000280900,280900,322560,41660,host_semantic_block,host_semantic,explain_or_transition_candidate,latest_live_01-A000053;latest_live_01-A000054;latest_live_01-A000055;latest_live_01-A000056;latest_live_01-A000057,,,asr_host_speech,我最近还刷到一个专门就是教功夫的一个、一个少林寺的武僧啊，然后完了过很多老外都专门从国外飞到中国来，然后在我们这边来去学习我们中国的功夫。 我觉得这也是源自于我们有那么多影视作品的传播，所以一个好的泱泱大国当然是值得学习的。 但是最近看这个电影啊……也发现了，商业真的是很无情的啊！ 即便是像星爷这么高的地位、这么多人的支持，然后居然还有很多人去偷票房，哈！ 还有很多就是、就是这些不法的进行这些什么影院，然后呢再去做的，还有很多人去抨击他、攻击他，啊，觉得他丑化了什么梨花队，对吧？,0.946,no_course_match,insufficient_source_evidence,observed_by_qwen_vl_window,derived_from_asr_timestamps_volume_not_measured,passed
latest_live_01,latest_live_01-SEM0010-000000322680,322680,344780,22100,comment_response_candidate,interaction_or_reply,answer_or_clarify_candidate,latest_live_01-A000058;latest_live_01-A000059;latest_live_01-A000060;latest_live_01-A000061,,latest_live_01-COM00003;latest_live_01-COM00004;latest_live_01-COM00005,asr_host_speech,丑化了大河队，丑化了对岸，怎么怎么样的，然后有很多就破防了，据说泡菜国已经破防了，哈！ 啊，所以今天特地穿上这身衣服，表示我对星爷的支持！ 哈，然后呢，大家也多多的支持。 然后我最近看到很多企业、很多的品牌做活动，都把这个这个影迷那个什么电影票拿来做活动。,0.95,no_course_match,candidate_relation_arbitrated_insufficient_source_evidence,source_limited_unknown,derived_from_asr_timestamps_volume_not_measured,blocked_source_limit
