session_id,audio_segment_id,source_asr_sentence_id,start_ms,end_ms,duration_ms,text_clean,audio_source_type,speaker_role,asr_quality,host_speech_usable,exclusion_reason,word_confidence_avg,word_confidence_min,word_count,speech_rate_chars_per_sec,pause_before_ms,pause_after_ms,volume_rms,volume_dbfs,peak_dbfs,emphasis_label,prosody_measure_status,evidence_ref,completion_status
latest_live_01,latest_live_01-A000001,1,160,3360,3200,做得很好，真的没关系。,host_speech,probable_host,high,true,,0.809,0.424,4,3.44,160,1840,0.328743,-9.66,-0.28,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000002,2,5200,13520,8320,你没什么良心，就就这样把抛弃。,host_speech,probable_host,high,true,,0.875,0.76,7,1.8,1840,2000,0.321255,-9.86,-0.83,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000003,3,15520,24080,8560,我真是没什么出息，对你还放不下去。,host_speech,probable_host,high,true,,0.979,0.936,10,1.99,2000,3290,0.327028,-9.71,-0.61,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000004,4,27370,28970,1600,结什么仇？,low_confidence_speech,unknown,low,false,low_asr_confidence,0.312,0.009,3,3.12,3290,1000,0.285231,-10.9,-1.04,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000005,5,29970,33730,3760,喝一杯，请你走路，不必回头。,host_speech,probable_host,high,true,,0.787,0.297,7,3.72,1000,1800,0.386156,-8.26,-0.54,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000006,6,35530,43010,7480,你走后，酒吧门口，我走了一面，爱又飞了。,host_speech,probable_host,medium,true,,0.773,0.387,13,2.67,1800,200,0.330245,-9.62,-0.54,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000007,7,43210,54410,11200,很火，我说算你狠，算用无辜的眼神，谎话说了两次，我就当真。,host_speech,probable_host,high,true,,0.805,0.175,17,2.59,200,1710,0.349614,-9.13,-0.34,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000008,8,56120,66120,10000,我说算我笨，软不隆冬的耳根，只为一时的气氛，搞一肚子的气氛。,host_speech,probable_host,high,true,,0.86,0.293,20,3.0,1710,360,0.366468,-8.72,-0.37,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000009,9,66480,75680,9200,美到过去就立刻让我血冲到脑子里去，我的心里只会永远的恨你。,host_speech,probable_host,medium,true,,0.72,0.07,18,3.15,360,1640,0.342834,-9.3,-0.52,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000010,10,77320,82040,4720,你跟着别人想溜，好去丢我一个人在这里吹冷空气。,host_speech,probable_host,medium,true,,0.74,0.022,14,4.87,1640,160,0.338694,-9.4,-0.69,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000011,11,82200,86000,3800,我和我的正好真的没关系。,host_speech,probable_host,medium,true,,0.696,0.414,5,3.16,160,2920,0.350945,-9.1,-0.81,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
