priority_rank,priority_score,session_id,review_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,review_reason,evidence_refs,current_ai_status,suggested_review_action,completion_status
1,90,latest_live_01,RISK-00085,latest_live_01-SEM0113-000002648220,latest_live_01-COM00137,2640000,00:44:00,comment_content_risk,direct_reply_not_confirmed_or_comment_risk_present,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
2,90,latest_live_02,RISK-00187,latest_live_02-SEM0026-000000664780,latest_live_02-COM00285,660000,00:11:00,comment_content_risk,direct_reply_not_confirmed_or_comment_risk_present,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
3,90,latest_live_02,RISK-00259,latest_live_02-SEM0026-000000664780,latest_live_02-COM00443,660000,00:11:00,comment_content_risk,direct_reply_not_confirmed_or_comment_risk_present,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
4,70,latest_live_01,RISK-00032,latest_live_01-SEM0001-000000000160,latest_live_01-COM00047,0,00:00:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
5,70,latest_live_01,RISK-00144,latest_live_01-SEM0001-000000000160,latest_live_01-COM00218,0,00:00:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
6,70,latest_live_01,RISK-00788,latest_live_01-SEM0001-000000000160,latest_live_01-COM00047,0,00:00:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
7,70,latest_live_01,RISK-00124,latest_live_01-SEM0002-000000088920,latest_live_01-COM00192,60000,00:01:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
8,70,latest_live_01,RISK-00125,latest_live_01-SEM0002-000000088920,latest_live_01-COM00193,60000,00:01:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
9,70,latest_live_01,RISK-00171,latest_live_01-SEM0002-000000088920,latest_live_01-COM00261,60000,00:01:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
10,70,latest_live_01,RISK-00163,latest_live_01-SEM0004-000000133890,latest_live_01-COM00252,120000,00:02:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
11,70,latest_live_01,RISK-00044,latest_live_01-SEM0006-000000192060,latest_live_01-COM00071,180000,00:03:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
