link_id,session_id,comment_event_ids,reply_event_ids,response_link_type,response_latency_ms,link_evidence,link_confidence,link_status,alternative_link_candidates,unanswered_reason,provisional_status
latest_live_01-L0001,latest_live_01,latest_live_01-C00001;latest_live_01-C00002,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,未明确提问,provisional_pending_5_6_review
latest_live_01-L0002,latest_live_01,latest_live_01-C00003;latest_live_01-C00004;latest_live_01-C00005,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0003,latest_live_01,latest_live_01-C00006;latest_live_01-C00007;latest_live_01-C00008,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0004,latest_live_01,latest_live_01-C00009;latest_live_01-C00010;latest_live_01-C00011,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0005,latest_live_01,latest_live_01-C00012;latest_live_01-C00013;latest_live_01-C00014,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0006,latest_live_01,latest_live_01-C00015;latest_live_01-C00016,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0007,latest_live_01,latest_live_01-C00017;latest_live_01-C00018,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0008,latest_live_01,latest_live_01-C00019;latest_live_01-C00020,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,no direct reply to specific comments observed in this segment,provisional_pending_5_6_review
latest_live_01-L0009,latest_live_01,latest_live_01-C00021;latest_live_01-C00022;latest_live_01-C00023;latest_live_01-C00024;latest_live_01-C00025,,uncertain_pending_review,,no visible replies or threaded comments,0.85,candidate_pending_review,topic_related_not_causal,comments appear as standalone messages without reply indicators,provisional_pending_5_6_review
latest_live_01-L0010,latest_live_01,latest_live_01-C00026,latest_live_01-E000002700000-1118,direct_response,,主播针对评论'泡什么茶'进行讲解,0.98,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0011,latest_live_01,latest_live_01-C00027;latest_live_01-C00028,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0012,latest_live_01,latest_live_01-C00029;latest_live_01-C00030,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not_applicable,provisional_pending_5_6_review
latest_live_01-L0013,latest_live_01,latest_live_01-C00031;latest_live_01-C00032;latest_live_01-C00033,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,not applicable,provisional_pending_5_6_review
latest_live_01-L0014,latest_live_01,latest_live_01-C00034;latest_live_01-C00035,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,,provisional_pending_5_6_review
latest_live_01-L0015,latest_live_01,latest_live_01-C00036;latest_live_01-C00037;latest_live_01-C00038,,uncertain_pending_review,,,0.0,candidate_pending_review,topic_related_not_causal,评论区未显示主播回复,provisional_pending_5_6_review
