lesson_id,file_type,file_name,source_path,expected_size_bytes,actual_size_bytes,expected_last_write_time,actual_last_write_time,exists,size_match,mtime_match,status,error
L0001,video,第一课：为什么要学习体位技巧.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第一课：为什么要学习体位技巧.mp4,472973850,472973850,2025-03-14 10:23:21,2025-03-14 10:23:21,true,true,true,ok,
L0002,video,第七课：后入式.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第七课：后入式.mp4,445714317,445714317,2025-03-14 12:53:39,2025-03-14 12:53:39,true,true,true,ok,
L0003,video,第三课：进行技巧体位课的准备.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第三课：进行技巧体位课的准备.mp4,343792526,343792526,2025-03-14 11:39:43,2025-03-14 11:39:43,true,true,true,ok,
L0004,video,第二课：什么人适合体位技巧课.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第二课：什么人适合体位技巧课.mp4,566077054,566077054,2025-03-14 11:34:59,2025-03-14 11:34:59,true,true,true,ok,
L0005,video,第五课：女上位式.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第五课：女上位式.mp4,1034467656,1034467656,2025-03-14 12:40:09,2025-03-14 12:40:09,true,true,true,ok,
L0006,video,第六课：侧卧式.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第六课：侧卧式.mp4,319774305,319774305,2025-03-14 12:44:27,2025-03-14 12:44:27,true,true,true,ok,
L0007,video,第四课：经典传教士.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第四课：经典传教士.mp4,270413362,270413362,2025-03-14 11:48:55,2025-03-14 11:48:55,true,true,true,ok,
L0008,video,C8339.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8339.MP4,3624269356,3624269356,2025-03-06 18:55:08,2025-03-06 18:55:08,true,true,true,ok,
L0009,video,C8340.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8340.MP4,2718235668,2718235668,2025-03-06 19:02:59,2025-03-06 19:02:59,true,true,true,ok,
L0010,video,C8341.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8341.MP4,1644417684,1644417684,2025-03-06 19:07:47,2025-03-06 19:07:47,true,true,true,ok,
L0011,video,C8342.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8342.MP4,3590711592,3590711592,2025-03-06 19:21:05,2025-03-06 19:21:05,true,true,true,ok,
