session_id,semantic_event_id,start_ms,end_ms,observed_action,facial_expression,gaze_target,body_posture,hand_gesture,prop_interaction,courseware_interaction,action_observation_status,action_confidence,visual_evidence_ref,visual_evidence_source,completion_status
latest_live_01,latest_live_01-SEM0001-000000000160,160,86000,站立讲解,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0001_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0002-000000088920,88920,118290,手势演示（如指指点点、比划动作）,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0002-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0003-000000118450,118450,127370,主播站立并做出手势动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0003-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0004-000000133890,133890,147930,主播站立并做出手势动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0003-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0005-000000158010,158010,184780,主播站立并做出手势动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0003-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0006-000000192060,192060,210260,speaking,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0004-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0007-000000210620,210620,243910,speaking,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0004-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0008-000000244610,244610,280820,双手张开后合拢，反复做手势强调；口型同步于语音内容,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0005-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0009-000000280900,280900,322560,speaking,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0010-000000322680,322680,344780,speaking,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
