review_id,session_id,event_id,timecode,evidence_source,review_question,ai_current_candidate,alternative_explanation,confidence,suggested_review_action,provisional_status
latest_live_01-MR0001,latest_live_01,latest_live_01-E000000000160-0001,00:00:00,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,做得很好，真的没关系。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0002,latest_live_01,latest_live_01-E000000005200-0002,00:00:05,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,你没什么良心，就就这样把抛弃。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0003,latest_live_01,latest_live_01-E000000015520-0003,00:00:15,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我真是没什么出息，对你还放不下去。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0004,latest_live_01,latest_live_01-E000000027370-0004,00:00:27,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,结什么仇？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0005,latest_live_01,latest_live_01-E000000029970-0005,00:00:29,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,喝一杯，请你走路，不必回头。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0006,latest_live_01,latest_live_01-E000000035530-0006,00:00:35,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,你走后，酒吧门口，我走了一面，爱又飞了。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0007,latest_live_01,latest_live_01-E000000043210-0007,00:00:43,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,很火，我说算你狠，算用无辜的眼神，谎话说了两次，我就当真。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0008,latest_live_01,latest_live_01-E000000056120-0008,00:00:56,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我说算我笨，软不隆冬的耳根，只为一时的气氛，搞一肚子的气氛。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0009,latest_live_01,latest_live_01-E000000066480-0009,00:01:06,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,美到过去就立刻让我血冲到脑子里去，我的心里只会永远的恨你。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0010,latest_live_01,latest_live_01-E000000077320-0010,00:01:17,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,你跟着别人想溜，好去丢我一个人在这里吹冷空气。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0011,latest_live_01,latest_live_01-E000000082200-0011,00:01:22,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我和我的正好真的没关系。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0012,latest_live_01,latest_live_01-E000000088920-0012,00:01:28,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,今天穿了一套，懂的我要声援一下我们的星爷，功夫女足。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0013,latest_live_01,latest_live_01-E000000100280-0013,00:01:40,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,打不开的心门就不好，就慢慢慢。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0014,latest_live_01,latest_live_01-E000000102840-0014,00:01:42,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,你要学的那个吕正里白的陈小春，否则就注定要当一辈子的光棍。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0015,latest_live_01,latest_live_01-E000000108040-0015,00:01:48,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,一看见你，我就想冲过去，就立刻让我血冲到脑子里去。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0016,latest_live_01,latest_live_01-E000000113240-0016,00:01:53,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我的心里只会永远的恨。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0017,latest_live_01,latest_live_01-E000000116050-0017,00:01:56,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,恨你！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0018,latest_live_01,latest_live_01-E000000117610-0018,00:01:57,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,这是谁？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0019,latest_live_01,latest_live_01-E000000118450-0019,00:01:58,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,心仪宝贝，怎么会有这个、这个、这个表情？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0020,latest_live_01,latest_live_01-E000000123250-0020,00:02:03,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,哎，还可以！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0021,latest_live_01,latest_live_01-E000000124170-0021,00:02:04,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,哎，评论区还可以发这个表情啊！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0022,latest_live_01,latest_live_01-E000000126090-0022,00:02:06,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,这个小猪猪好可爱！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0023,latest_live_01,latest_live_01-E000000129050-0023,00:02:09,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,一看到你，我就想冲到空气里，却冲到脑子里去。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0024,latest_live_01,latest_live_01-E000000133890-0024,00:02:13,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我的心里只会永远的恨你。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0025,latest_live_01,latest_live_01-E000000139250-0025,00:02:19,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,你跟着别人吃香又喝气，丢我在这里吹冷空气。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0026,latest_live_01,latest_live_01-E000000144170-0026,00:02:24,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,我会活得正好，没没关系。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0027,latest_live_01,latest_live_01-E000000149690-0027,00:02:29,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,心事那武功就累哦，还刺激！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0028,latest_live_01,latest_live_01-E000000158010-0028,00:02:38,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,还可以发这个表情包！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0029,latest_live_01,latest_live_01-E000000159930-0029,00:02:39,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,今天很帅是不是？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0030,latest_live_01,latest_live_01-E000000163090-0030,00:02:43,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,好看吧？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0031,latest_live_01,latest_live_01-E000000164490-0031,00:02:44,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,给你们秀两招！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0032,latest_live_01,latest_live_01-E000000168730-0032,00:02:48,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,可是不会一杯二锅头哦，呛得眼泪流哦！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0033,latest_live_01,latest_live_01-E000000175450-0033,00:02:55,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,圣诞！,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0034,latest_live_01,latest_live_01-E000000178060-0034,00:02:58,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,好汉不回头，一杯二锅头，香得眼泪流。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0035,latest_live_01,latest_live_01-E000000185780-0035,00:03:05,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,生旦净末丑，好看不回头。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0036,latest_live_01,latest_live_01-E000000192060-0036,00:03:12,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,ok，好，欢迎大家等待热身的时间啊，唱一首歌给大家。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0037,latest_live_01,latest_live_01-E000000197460-0037,00:03:17,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,好，算你狠。,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0038,latest_live_01,latest_live_01-E000000198500-0038,00:03:18,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,哎呀，这首歌也是伴随着青春那个叛逆的青春期，那个时候看到三鸡哥，看到陈小春，看到陈浩南，有没有？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0039,latest_live_01,latest_live_01-E000000206740-0039,00:03:26,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,哎呀，所以每一代你看都有每一代的追星梦，对不对？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
latest_live_01-MR0040,latest_live_01,latest_live_01-E000000210620-0040,00:03:30,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,确认该事件的 ASR/OCR/动作/评论关系是否准确。,小的时候呢，我们追古惑仔，现在我们追什么？,可能只是主题接近，不能直接认定因果关系。,0.72,回看对应时间码原视频和本地 API 原始结果。,provisional_pending_5_6_review
