bridge_id,field_type,lesson_id,source_type,source_quote,timecode,bridge_note,review_flag
B00001,直播讲解可用知识点,L1071,knowledge,安妮： HI “大家好，我是知心安妮，是情趣技巧潜能开发导师，性与亲密关系高级咨询师，以及国家心理治疗师，在两性亲密关系改善领域深耕十年，一对一个案咨询指导上万来访者,P0004,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00002,直播讲解可用知识点,L1071,knowledge,安妮：“在众多咨询案例中，我发现，许多中国女性在亲密关系中因缺乏情趣意识和知识体系而导致伴侣的情感消退，丧失亲密互动，夫妻生活变得单调乏味，感情随之出现裂痕，伴侣出轨，甚至造成经营多年的婚姻破裂，而痛苦万分,P0005,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00003,直播讲解可用知识点,L1071,knowledge,她们渴望了解伴侣的需求，却苦于缺乏学科化的情趣技巧,P0005,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00004,直播讲解可用知识点,L1071,knowledge,安妮： “针对中国当代女性的这些困境，我们以情，欲，性三大维度为基本理论基础，涵盖了生理，心理，情感，情绪，性与亲密关系，精心打磨了专为中国女性量身定制的《情趣女王》精品课程,P0006,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00005,直播讲解可用知识点,L1071,knowledge,本课程体系结合了现代解刨学，性生理学，性心理学及道家性养生的相关知识理论，旨在帮助每位女性勇敢探索自我，了解伴侣，给予伴侣极致的亲密体验，从而提升亲密关系的质量,P0006,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00006,直播讲解可用知识点,L1071,knowledge,你将学会用情趣点亮感情生活，用智慧经营亲密关系,P0007,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00007,直播讲解可用知识点,L1071,knowledge,无论是在情感表达沟通上，还是在个人魅力和生活品质上，你都将迎来新的提升,P0007,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00008,直播讲解可用知识点,L1071,knowledge,安妮： “情趣是每一个成年女性都应该掌握的必修课，情趣商数的高低直接关系着幸福指数的高低，所以欢迎每一位女性都来到《情趣女王》的课程,P0008,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00009,直播讲解可用知识点,L1072,knowledge,然后你起身，他保持平躺的姿势，你翻过身来用六九的姿势，你的上半身刚好在他胯位置，侧靠在他的身旁，一只手肘支撑着，另一只手就在他蛋蛋下方了，同时你一条腿可以搭在他的手臂或者他的胸上，稍后随着你手部动作，那条腿就可以微微地摩擦他的身体,P0003,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00010,直播讲解可用知识点,L1072,knowledge,上产品：把准备好的精油，挤在手心里，双手合十把精油摊开,P0004,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
