rule_id,session_id,trigger_type,trigger_evidence_ids,source_event_ids,source_comment_ids,trigger_pattern,audience_state_candidate,decision_goal_candidate,response_strategy_candidate,course_basis,avatar_action_basis,prosody_basis,risk_level_candidate,human_takeover_required,fallback_route,completion_status
RULE-00001,latest_live_01,comment_reply_arbitration,latest_live_01-RL00001,latest_live_01-SEM0122-000002827040,latest_live_01-COM00001,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,手持粉色球，随后用手指向上指,normal_volume,medium,true,manual_takeover,passed
RULE-00002,latest_live_01,comment_reply_arbitration,latest_live_01-RL00002,latest_live_01-SEM0222-000005528520,latest_live_01-COM00002,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,holding and gesturing with a booklet,normal_volume,medium,true,manual_takeover,passed
RULE-00003,latest_live_01,comment_reply_arbitration,latest_live_01-RL00003,latest_live_01-SEM0164-000003977490,latest_live_01-COM00003,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,讲解、手势演示,normal_volume,medium,true,manual_takeover,passed
RULE-00004,latest_live_01,comment_reply_arbitration,latest_live_01-RL00004,latest_live_01-SEM0199-000004880690,latest_live_01-COM00004,topic_related_not_causal,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,demonstrating pelvic floor exercises with a pink ball,normal_volume,low,false,safe_generic_response,passed
RULE-00005,latest_live_01,comment_reply_arbitration,latest_live_01-RL00005,latest_live_01-SEM0027-000000677380,latest_live_01-COM00005,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,speaking and gesturing,normal_volume,medium,true,manual_takeover,passed
RULE-00006,latest_live_01,comment_reply_arbitration,latest_live_01-RL00006,latest_live_01-SEM0145-000003517870,latest_live_01-COM00006,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,坐着进行健身动作指导，伴随手势,normal_volume,medium,true,manual_takeover,passed
RULE-00007,latest_live_01,comment_reply_arbitration,latest_live_01-RL00007,latest_live_01-SEM0140-000003252220,latest_live_01-COM00007,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,standing_instructor_position,normal_volume,medium,true,manual_takeover,passed
RULE-00008,latest_live_01,comment_reply_arbitration,latest_live_01-RL00008,latest_live_01-SEM0110-000002588840,latest_live_01-COM00008,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,主播手持粉色按摩球，进行讲解和演示。,normal_volume,medium,true,manual_takeover,passed
RULE-00009,latest_live_01,comment_reply_arbitration,latest_live_01-RL00009,latest_live_01-SEM0113-000002648220,latest_live_01-COM00009,insufficient_source_evidence,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,手持粉色健身球，演示握持与轻压动作；期间将球置于膝上，双手交替轻拍球面；最后双手合拢于胸前做总结手势,normal_volume,medium,true,manual_takeover,passed
RULE-00010,latest_live_01,comment_reply_arbitration,latest_live_01-RL00010,latest_live_01-SEM0110-000002588840,latest_live_01-COM00010,topic_related_not_causal,comment_visible_or_topic_context,answer_only_when_evidence_supports_or_handover,topic_related_answer_with_manual_takeover_on_low_confidence,no_direct_course_quote_use_generic_safe_course_context,主播手持粉色按摩球，进行讲解和演示。,normal_volume,low,false,safe_generic_response,passed
