clip_id,source_video,time_range,action_type,face_visibility,mouth_visibility,eye_visibility,hand_visibility,body_motion,head_motion,gesture_type,emotion_state,digital_human_use_case,quality_score,risk_note,qwen_vl_max_summary
R01_5_13_C01_opening,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with neutral curtain background and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking pattern observed"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, smiling slightly"", ""head_motion"": ""minimal hea"
R01_5_13_C02_middle,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:55:10-00:55:16,中段讲解阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""室内讲解场景，背景为灰色窗帘，右侧有装饰鼓和橙色果实"", ""face_visibility"": ""完全可见"", ""eye_gaze"": ""直视前方"", ""blink_observation"": ""正常眨眼频率，无明显异常"", ""mouth_opening"": ""轻微张开，处于说话状态"", ""expression"": ""平静专注，略带讲解时的自然表情"", ""head_motion"": ""轻微上下微动，保持稳定"", ""shoulder_neck_motion"": ""肩部放松，颈部无明显动作"", ""body_motion"": ""身体基本静止，坐姿端正"", ""hand_gesture"": ""双手交叠放在腹部，动作稳定，无大幅变化"", ""posture_or_position"": "
R01_5_13_C03_high_motion,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:23:05-01:23:11,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking actively"", ""expression"": ""engaged and expressive"", ""head_motion"": ""minimal, slight nodding"", ""shoulder_neck_motion"": ""sli"
R01_5_13_C04_high_audio,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:56:30-00:56:36,互动/高语音情绪阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R01_5_13_C05_closing,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:48:51-01:48:57,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R02_C5824_C01_opening,参考/完整直播录屏/今年直播素材/C5824.MP4,00:01:00-00:01:06,开头阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,baseline_avatar_state_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor studio setting with neutral curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency"", ""mouth_opening"": ""moderate, speaking or smiling"", ""expression"": ""happy, engaging"", ""head_motion"": ""minimal, slight nodding"", ""shoulder_neck_motion"": """
R02_C5824_C02_middle,参考/完整直播录屏/今年直播素材/C5824.MP4,00:49:09-00:49:15,中段讲解阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,general_live_avatar_reference,5.0,needs_human_review_before_training_or_vendor_acceptance,"```json { ""scene"": ""indoor living room or studio setting with neutral curtains and decorative vase"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking frequency, no excessive blinks"", ""mouth_opening"": ""moderate opening during speech, consistent with talking"", ""expression"": ""engaged, expressive, smilin"
R02_C5824_C03_high_motion,参考/完整直播录屏/今年直播素材/C5824.MP4,01:02:08-01:02:14,动作明显阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,high_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,action_ecology_reference,4.0,needs_human_review_before_training_or_vendor_acceptance,"{ ""scene"": ""indoor studio setting with neutral curtains and decorative elements"", ""face_visibility"": ""fully visible"", ""eye_gaze"": ""directly at camera"", ""blink_observation"": ""normal blinking pattern observed"", ""mouth_opening"": ""moderate opening during speech"", ""expression"": ""engaged, expressive, slightly animated"", ""head_motion"": ""minimal head movement, sligh"
R02_C5824_C04_high_audio,参考/完整直播录屏/今年直播素材/C5824.MP4,01:37:38-01:37:44,互动/高语音情绪阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,low_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,voice_tone_or_tts_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
R02_C5824_C05_closing,参考/完整直播录屏/今年直播素材/C5824.MP4,01:36:48-01:36:54,收尾或促单阶段,medium_face_visible,待验证_by_frame_only,待验证_by_frame_only,模型辅助观察见 qwen_vl_max_summary,medium_motion,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,模型辅助观察见 qwen_vl_max_summary,closing_or_promotion_style_reference,3.7,needs_human_review_before_training_or_vendor_acceptance,未调用或调用失败
