term,lesson_id,source_quote,timecode,definition_or_context,review_flag
按摩,L0846,YONI疗愈按摩,P0002,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L1071,安妮： “针对中国当代女性的这些困境，我们以情，欲，性三大维度为基本理论基础，涵盖了生理，心理，情感，情绪，性与亲密关系，精心打磨了专为中国女性量身定制的《情趣女王》精品课程,P0006,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L1072,按摩前一定要用上专用的精油，作为润滑，私处的皮肤是非常脆弱的，如果不小心弄痛它的话就不好玩儿了,P0003,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L1072,需要透过盆底肌去刺激到它内部的前列腺，一定要用力一些，要注意不要用指节去顶，而是手指面去顶住它，顶住做一些微微颤动的动作,P0006,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0001,今天我们要上的课程是,00:00:06.280,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0001,蓝星老师是教私密瑜伽的,00:00:12.440,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密训练,L0001,盘体及私密训练的,00:00:14.480,从课程原文上下文提取，需人工补充准确定义,needs_human_review
愉悦度,L0001,提升我们自身的愉悦度,00:00:26.720,从课程原文上下文提取，需人工补充准确定义,needs_human_review
体位技巧,L0001,到底我们的体位技巧,00:00:59.120,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0002,我们在私密瑜伽当中呢,00:03:28.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0003,我们会在情绪女王的课程当中,00:01:27.030,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0004,可以去找到我们的课程助理,00:00:19.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0005,我們要配合盆底肌的收縮,00:04:58.800,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0005,做按摩就會覺得不舒服,00:12:48.300,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0006,我们就需要呼吸的配合,00:04:07.810,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0006,可以来到我们私命瑜伽的课程当中,00:04:40.570,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0006,通过盆底肌的收紧,00:09:06.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0007,我们的私密养护的专场的课程,00:07:31.300,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0007,给它按摩让它变得更饱满,00:07:41.600,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0008,今天我们要上的课程是,00:00:05.140,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0008,蓝星老师是教私密瑜伽的,00:00:11.300,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密训练,L0008,盘底机私密训练的,00:00:13.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
体位技巧,L0008,到底我们的体位技巧,00:00:57.980,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0010,我们会在情绪女王的课程当中,00:01:28.600,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0011,我們的私密瑜伽的訓練呢,00:04:59.530,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0011,包括怎麼用我們的粉粉精華給它按摩,00:08:07.090,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0012,那我們要配合盆底肌的收縮,00:05:09.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
