lesson_id,file_name,file_type,duration,source_path,status,segments,elapsed_seconds,error
L0001,第一课：为什么要学习体位技巧.mp4,video,00:05:11.133,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第一课：为什么要学习体位技巧.mp4,completed,191,44.537,
L0002,第七课：后入式.mp4,video,00:09:24.849,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第七课：后入式.mp4,completed,304,80.137,
L0003,第三课：进行技巧体位课的准备.mp4,video,00:03:45.953,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第三课：进行技巧体位课的准备.mp4,completed,112,31.078,
L0004,第二课：什么人适合体位技巧课.mp4,video,00:06:12.355,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第二课：什么人适合体位技巧课.mp4,completed,183,54.516,
L0005,第五课：女上位式.mp4,video,00:13:36.042,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第五课：女上位式.mp4,completed,424,115.841,
L0006,第六课：侧卧式.mp4,video,00:09:55.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第六课：侧卧式.mp4,completed,279,83.429,
L0007,第四课：经典传教士.mp4,video,00:07:59.121,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\成片\第四课：经典传教士.mp4,completed,244,71.359,
L0008,C8339.MP4,video,00:08:35.040,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8339.MP4,completed,302,77.024,
L0009,C8340.MP4,video,00:06:25.920,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8340.MP4,completed,175,56.655,
L0010,C8341.MP4,video,00:03:52.320,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8341.MP4,completed,116,34.386,
L0011,C8342.MP4,video,00:08:28.320,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8342.MP4,completed,254,17.203,
L0012,C8343.MP4,video,00:09:51.840,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8343.MP4,completed,279,22.199,
L0013,C8344.MP4,video,00:04:15.360,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8344.MP4,completed,127,11.708,
