unknown_id,session_id,related_event_id,related_comment_id,start_ms,end_ms,unknown_type,source_limit_status,reason,evidence_ref,recommended_recovery,completion_status
UNK-000001,latest_live_08,,,180000,240000,visual_window_model_execution_failed,true_source_limit,model_indeterminate_after_full_fallback,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_08/latest_live_08-ACTQW0004-A03_qwen-vl-max.json,retry_qwen_vl_or_manual_keyframe_review,blocked_source_limit
UNK-000002,latest_live_09,,,420000,480000,visual_window_model_execution_failed,true_source_limit,model_indeterminate_after_full_fallback,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_09/latest_live_09-ACTQW0008-A03_qwen-vl-max.json,retry_qwen_vl_or_manual_keyframe_review,blocked_source_limit
UNK-000003,latest_live_09,,,1980000,2040000,visual_window_model_execution_failed,true_source_limit,model_indeterminate_after_full_fallback,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_09/latest_live_09-ACTQW0034-A03_qwen-vl-max.json,retry_qwen_vl_or_manual_keyframe_review,blocked_source_limit
UNK-000004,latest_live_01,latest_live_01-SEM0122-000002827040,latest_live_01-COM00001,2820000,2827040,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00001,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000005,latest_live_01,latest_live_01-SEM0222-000005528520,latest_live_01-COM00002,5520000,5528520,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00002,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000006,latest_live_01,latest_live_01-SEM0164-000003977490,latest_live_01-COM00003,3960000,3977490,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00003,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000007,latest_live_01,latest_live_01-SEM0027-000000677380,latest_live_01-COM00005,660000,677380,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00005,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000008,latest_live_01,latest_live_01-SEM0145-000003517870,latest_live_01-COM00006,3480000,3517870,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00006,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000009,latest_live_01,latest_live_01-SEM0140-000003252220,latest_live_01-COM00007,3240000,3252220,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00007,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000010,latest_live_01,latest_live_01-SEM0110-000002588840,latest_live_01-COM00008,2580000,2588840,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00008,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000011,latest_live_01,latest_live_01-SEM0113-000002648220,latest_live_01-COM00009,2640000,2648220,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00009,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000012,latest_live_01,latest_live_01-SEM0199-000004880690,latest_live_01-COM00013,4860000,4880690,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00013,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000013,latest_live_01,latest_live_01-SEM0186-000004569860,latest_live_01-COM00015,4560000,4569860,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00015,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000014,latest_live_01,latest_live_01-SEM0190-000004689940,latest_live_01-COM00017,4680000,4689940,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00017,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000015,latest_live_01,latest_live_01-SEM0213-000005305510,latest_live_01-COM00018,5280000,5305510,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00018,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000016,latest_live_01,latest_live_01-SEM0212-000005258220,latest_live_01-COM00019,5220000,5258220,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00019,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000017,latest_live_01,latest_live_01-SEM0215-000005359260,latest_live_01-COM00020,5340000,5359260,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00020,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000018,latest_live_01,latest_live_01-SEM0155-000003793910,latest_live_01-COM00021,3780000,3793910,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00021,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000019,latest_live_01,latest_live_01-SEM0079-000001864220,latest_live_01-COM00022,1860000,1864220,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00022,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000020,latest_live_01,latest_live_01-SEM0082-000001925470,latest_live_01-COM00023,1920000,1925470,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00023,manual_review_original_video_comment_and_host_speech,blocked_source_limit
UNK-000021,latest_live_01,latest_live_01-SEM0143-000003411760,latest_live_01-COM00024,3360000,3411760,comment_reply_causality_not_confirmed,true_source_limit,temporal_proximity_only_not_enough_for_direct_reply,latest_live_01-RL00024,manual_review_original_video_comment_and_host_speech,blocked_source_limit
