session_id,risk_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,risk_level,risk_evidence,handover_required,handover_reason,safe_fallback,completion_status
latest_live_01,RISK-00001,latest_live_01-SEM0122-000002827040,latest_live_01-COM00001,2820000,00:47:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00002,latest_live_01-SEM0222-000005528520,latest_live_01-COM00002,5520000,01:32:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00003,latest_live_01-SEM0164-000003977490,latest_live_01-COM00003,3960000,01:06:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00004,latest_live_01-SEM0027-000000677380,latest_live_01-COM00005,660000,00:11:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00005,latest_live_01-SEM0145-000003517870,latest_live_01-COM00006,3480000,00:58:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00006,latest_live_01-SEM0140-000003252220,latest_live_01-COM00007,3240000,00:54:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00007,latest_live_01-SEM0110-000002588840,latest_live_01-COM00008,2580000,00:43:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00008,latest_live_01-SEM0113-000002648220,latest_live_01-COM00009,2640000,00:44:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00009,latest_live_01-SEM0199-000004880690,latest_live_01-COM00013,4860000,01:21:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
latest_live_01,RISK-00010,latest_live_01-SEM0186-000004569860,latest_live_01-COM00015,4560000,01:16:00,comment_reply_low_confidence,medium,temporal_proximity_only_not_enough_for_direct_reply,true,direct_reply_not_confirmed_or_comment_risk_present,manual_takeover_or_safe_generic_answer,passed
