voice_clip_id,source_video,time_range,speech_style,emotion,speed,volume,pause_quality,background_noise,overlap_speech,clone_suitability,tts_reference_suitability,risk_note,omni_summary
V_R01_5_13_C01_opening,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R01_5_13_C02_middle,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:55:10-00:55:16,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R01_5_13_C03_high_motion,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:23:05-01:23:11,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R01_5_13_C04_high_audio,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:56:30-00:56:36,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""neutral"", ""speaking_speed"": ""slow"", ""pauses"": [""short""], ""stress"": ""none"", ""tone"": ""calm"", ""emotion_change"": ""none"", ""filler_words_if_audible"": ""none"", ""mouth_voice_alignment_risk"": ""low"", ""clone_suitability"": ""high"", ""tts_reference_suitability"": ""high"", ""action_voice_match"": ""good"", ""risk_note"": ""none"" } ```"
V_R01_5_13_C05_closing,参考/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:48:51-01:48:57,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R02_C5824_C01_opening,参考/完整直播录屏/今年直播素材/C5824.MP4,00:01:00-00:01:06,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R02_C5824_C02_middle,参考/完整直播录屏/今年直播素材/C5824.MP4,00:49:09-00:49:15,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R02_C5824_C03_high_motion,参考/完整直播录屏/今年直播素材/C5824.MP4,01:02:08-01:02:14,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R02_C5824_C04_high_audio,参考/完整直播录屏/今年直播素材/C5824.MP4,01:37:38-01:37:44,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""偶尔有短暂停顿"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""适合"", ""tts_reference_suitability"": ""适合"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅自然"" } ```"
V_R02_C5824_C05_closing,参考/完整直播录屏/今年直播素材/C5824.MP4,01:36:48-01:36:54,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
