session_id,coverage_window_id,start_ms,end_ms,coverage_level,qwen_vl_observed,qwen_window_id,qwen_evidence_ref,coverage_status,comment_area_visible,visible_comment_count,observed_action,prosody_label,source_limit_reason,completion_status
latest_live_01,latest_live_01-VC0001,0,60000,base_60s_registry,true,latest_live_01-QW0001,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0001_qwen-vl-plus.json,observed_by_existing_alibaba_qwen_vl,yes,2,站立讲解,平稳,,passed
latest_live_01,latest_live_01-VC0002,60000,120000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0003,120000,180000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0004,180000,240000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0005,240000,300000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0006,300000,360000,base_60s_registry,true,latest_live_01-QW0002,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,observed_by_existing_alibaba_qwen_vl,yes,3,speaking,clear_and_calm,,passed
latest_live_01,latest_live_01-VC0007,360000,420000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0008,420000,480000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0009,480000,540000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0010,540000,600000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0011,600000,660000,base_60s_registry,true,latest_live_01-QW0003,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,observed_by_existing_alibaba_qwen_vl,yes,3,speaking and gesturing,clear and engaging,,passed
latest_live_01,latest_live_01-VC0012,660000,720000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0013,720000,780000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0014,780000,840000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0015,840000,900000,base_60s_registry,false,,,source_limited_unknown,not_observable,0,not_observable,not_observable,no_qwen_vl_observation_for_this_60s_registry_window,blocked_source_limit
latest_live_01,latest_live_01-VC0016,900000,960000,base_60s_registry,true,latest_live_01-QW0004,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,observed_by_existing_alibaba_qwen_vl,yes,3,speaking and gesturing,clear_and_enthusiastic,,passed
