unknown_id,session_id,related_event_id,related_comment_id,start_ms,end_ms,unknown_type,source_limit_status,reason,evidence_ref,recommended_recovery,completion_status
UNK000001,latest_live_01,latest_live_01-VC0002,,60000,120000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000002,latest_live_01,latest_live_01-VC0003,,120000,180000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000003,latest_live_01,latest_live_01-VC0004,,180000,240000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000004,latest_live_01,latest_live_01-VC0005,,240000,300000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000005,latest_live_01,latest_live_01-VC0007,,360000,420000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000006,latest_live_01,latest_live_01-VC0008,,420000,480000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000007,latest_live_01,latest_live_01-VC0009,,480000,540000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000008,latest_live_01,latest_live_01-VC0010,,540000,600000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000009,latest_live_01,latest_live_01-VC0012,,660000,720000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000010,latest_live_01,latest_live_01-VC0013,,720000,780000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000011,latest_live_01,latest_live_01-VC0014,,780000,840000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000012,latest_live_01,latest_live_01-VC0015,,840000,900000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000013,latest_live_01,latest_live_01-VC0017,,960000,1020000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000014,latest_live_01,latest_live_01-VC0018,,1020000,1080000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000015,latest_live_01,latest_live_01-VC0019,,1080000,1140000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000016,latest_live_01,latest_live_01-VC0020,,1140000,1200000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000017,latest_live_01,latest_live_01-VC0022,,1260000,1320000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000018,latest_live_01,latest_live_01-VC0023,,1320000,1380000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000019,latest_live_01,latest_live_01-VC0024,,1380000,1440000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000020,latest_live_01,latest_live_01-VC0025,,1440000,1500000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000021,latest_live_01,latest_live_01-VC0027,,1560000,1620000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000022,latest_live_01,latest_live_01-VC0028,,1620000,1680000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000023,latest_live_01,latest_live_01-VC0029,,1680000,1740000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000024,latest_live_01,latest_live_01-VC0030,,1740000,1800000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000025,latest_live_01,latest_live_01-VC0032,,1860000,1920000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000026,latest_live_01,latest_live_01-VC0033,,1920000,1980000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000027,latest_live_01,latest_live_01-VC0034,,1980000,2040000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000028,latest_live_01,latest_live_01-VC0035,,2040000,2100000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000029,latest_live_01,latest_live_01-VC0037,,2160000,2220000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000030,latest_live_01,latest_live_01-VC0038,,2220000,2280000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000031,latest_live_01,latest_live_01-VC0039,,2280000,2340000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000032,latest_live_01,latest_live_01-VC0040,,2340000,2400000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000033,latest_live_01,latest_live_01-VC0042,,2460000,2520000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000034,latest_live_01,latest_live_01-VC0043,,2520000,2580000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000035,latest_live_01,latest_live_01-VC0044,,2580000,2640000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
UNK000036,latest_live_01,latest_live_01-VC0045,,2640000,2700000,visual_comment_action_window,source_limited_unknown,no_qwen_vl_observation_for_this_60s_registry_window,,补跑该 60 秒窗口或人工回看原视频。,blocked_source_limit
