rule_id,session_id,trigger_type,trigger_evidence_ids,source_event_ids,source_comment_ids,trigger_pattern,audience_state_candidate,decision_goal_candidate,response_strategy_candidate,course_basis,avatar_action_basis,prosody_basis,risk_level_candidate,human_takeover_required,fallback_route,completion_status
latest_live_01-RULE0001,latest_live_01,course_explanation_semantic_pattern,latest_live_01-SEM0012-000000367650;latest_live_01-SEM0013-000000395710;latest_live_01-SEM0014-000000412790,latest_live_01-SEM0012-000000367650;latest_live_01-SEM0013-000000395710;latest_live_01-SEM0014-000000412790,,就一个是作为我们个人来讲，一个人心态上面的转化，从输赢对错，到非黑即白，到最后可以放松，可以包容。 然后呢，这是一个人的，再到从我们说家国情怀的，那上面的每一个人，每一个代号，每一个动作，或者每个场景，都是有它的隐喻的。 如果没有人去解析，可能一般人真的是看不懂这个隐喻。 但是一解析过后，哇，这这就能感受到星爷的这种良苦用心哈！ / OK，好，那我们啊寒暄完了，接下来我们就要开始干嘛呢？ 练功夫！ 所以来，我们要练的不是功夫女足，我们…,viewer_context_unknown_source_limited,answer_with_evidence_boundary,先承接语境 -> 只说证据内内容 -> 不确定处转人工/复核,blocked_source_missing;blocked_source_missing;blocked_source_missing,not_observable;not_observable;not_observable,derived_from_asr_timestamps,medium,true,manual_takeover_or_safe_generic_response,partial
latest_live_01-RULE0002,latest_live_01,host_semantic_semantic_pattern,latest_live_01-SEM0001-000000000160;latest_live_01-SEM0002-000000088920;latest_live_01-SEM0004-000000133890,latest_live_01-SEM0001-000000000160;latest_live_01-SEM0002-000000088920;latest_live_01-SEM0004-000000133890,,做得很好，真的没关系。 你没什么良心，就就这样把抛弃。 我真是没什么出息，对你还放不下去。 喝一杯，请你走路，不必回头。 你走后，酒吧门口，我走了一面，爱又飞了。 很火，我说算你狠，算用无辜的眼神，谎话说了两次，我就当真。 我说算我笨，软不隆冬的耳根，只为一时的气氛，搞一肚子的气氛。 美到过去就立刻让我血冲到脑子里去，我的心里只会永远的恨你。 你跟着别人想溜，好去丢我一个人在这里吹冷空气。 我和我的正好真的没关系。 / 今天穿了一套，…,viewer_context_unknown_source_limited,answer_with_evidence_boundary,先承接语境 -> 只说证据内内容 -> 不确定处转人工/复核,no_course_match;no_course_match;no_course_match,站立讲解;not_observable;not_observable,derived_from_asr_timestamps,low,false,continue_structured_response,passed
latest_live_01-RULE0003,latest_live_01,interaction_or_reply_semantic_pattern,latest_live_01-SEM0003-000000118450;latest_live_01-SEM0008-000000244610;latest_live_01-SEM0010-000000322680,latest_live_01-SEM0003-000000118450;latest_live_01-SEM0008-000000244610;latest_live_01-SEM0010-000000322680,,心仪宝贝，怎么会有这个、这个、这个表情？ 哎，还可以！ 哎，评论区还可以发这个表情啊！ 这个小猪猪好可爱！ / 来，有看过的姐妹们，来 q 个小一一，把赞赞赞点起来一下啊。 然后呢，我觉得，你看，就是为什么周星驰他在港圈的这个地位能够那么高，大家都叫他星爷，也只有这一个了。 就是他的影片不只是他的票房很厉害，而是他有很强的家国情怀。 所以你发现他的电影当中很多其实都是在弘扬我们中国的文化，然后呢用这种我们所谓的这种搞笑的、无厘头的方式…,viewer_context_unknown_source_limited,answer_with_evidence_boundary,先承接语境 -> 只说证据内内容 -> 不确定处转人工/复核,no_course_match;no_course_match;no_course_match,not_observable;not_observable;not_observable,derived_from_asr_timestamps,low,false,continue_structured_response,passed
latest_live_01-RULE0004,latest_live_01,opening_or_engagement_semantic_pattern,latest_live_01-SEM0006-000000192060;latest_live_01-SEM0019-000000504410;latest_live_01-SEM0029-000000726930,latest_live_01-SEM0006-000000192060;latest_live_01-SEM0019-000000504410;latest_live_01-SEM0029-000000726930,,ok，好，欢迎大家等待热身的时间啊，唱一首歌给大家。 好，算你狠。 哎呀，这首歌也是伴随着青春那个叛逆的青春期，那个时候看到三鸡哥，看到陈小春，看到陈浩南，有没有？ 哎呀，所以每一代你看都有每一代的追星梦，对不对？ / ”吓跑了啊？ 不用担心，这个球球刚开始你们不会用哈。 因为我们在这个直播间呢，我们是针对零基础的姐妹。 如果你是产后妈妈，或者是说我们是到了50加，已经到了绝经期、更年期了……想要保持年轻、恢复自信，到我们生产前的这种…,viewer_context_unknown_source_limited,answer_with_evidence_boundary,先承接语境 -> 只说证据内内容 -> 不确定处转人工/复核,no_course_match;no_course_match;no_course_match,not_observable;not_observable;not_observable,derived_from_asr_timestamps,low,false,continue_structured_response,passed
latest_live_01-RULE0005,latest_live_01,sales_or_conversion_semantic_pattern,latest_live_01-SEM0052-000001328200;latest_live_01-SEM0060-000001484020;latest_live_01-SEM0061-000001501960,latest_live_01-SEM0052-000001328200;latest_live_01-SEM0060-000001484020;latest_live_01-SEM0061-000001501960,,刚刚进来的姐妹们，没有关注的可以先关注上，这样每天就可以收到我的开播信息了。 我每天这个时间都会在这里免费的教大家怎么进行科学的、专业的盆底肌训。 训练，如果你是零基础的产后宝妈，或者更年期的女性，或者想让盆底变得更健康，或者是现在你已经有一些什么肚子又大了、骨盆又前倾了、前臂膨出了，或者是说不敢跑、不敢跳、不敢咳嗽、会担心会漏的姐妹们，都可以跟着我一起动起来啊！ 嗯，好，有同学说：“哎，原来我也可以跳舞了！ / 如果你不知道怎么选，…,viewer_context_unknown_source_limited,answer_with_evidence_boundary,先承接语境 -> 只说证据内内容 -> 不确定处转人工/复核,no_course_match;no_course_match;no_course_match,not_observable;speaking and gesturing;speaking and gesturing,derived_from_asr_timestamps,low,false,continue_structured_response,passed
latest_live_01-RULE0006,latest_live_01,comment_reply_low_confidence,latest_live_01-RPLY00001,latest_live_01-SEM0001-000000000160,latest_live_01-COM00001,latest_live_01-RPLY00001|latest_live_01-COM00001|latest_live_01-SEM0001-000000000160|insufficient_source_evidence,comment_seen_but_causality_unproven,avoid_false_direct_reply,可泛化回应主题，但不得声称已直接回答该评论,no_direct_course_basis,neutral_idle,natural_explanatory,medium,true,manual_takeover_for_comment_specific_question,partial
latest_live_01-RULE0007,latest_live_01,comment_reply_low_confidence,latest_live_01-RPLY00002,latest_live_01-SEM0001-000000000160,latest_live_01-COM00002,latest_live_01-RPLY00002|latest_live_01-COM00002|latest_live_01-SEM0001-000000000160|insufficient_source_evidence,comment_seen_but_causality_unproven,avoid_false_direct_reply,可泛化回应主题，但不得声称已直接回答该评论,no_direct_course_basis,neutral_idle,natural_explanatory,medium,true,manual_takeover_for_comment_specific_question,partial
latest_live_01-RULE0008,latest_live_01,comment_reply_low_confidence,latest_live_01-RPLY00003,latest_live_01-SEM0010-000000322680,latest_live_01-COM00003,latest_live_01-RPLY00003|latest_live_01-COM00003|latest_live_01-SEM0010-000000322680|insufficient_source_evidence,comment_seen_but_causality_unproven,avoid_false_direct_reply,可泛化回应主题，但不得声称已直接回答该评论,no_direct_course_basis,neutral_idle,natural_explanatory,medium,true,manual_takeover_for_comment_specific_question,partial
latest_live_01-RULE0009,latest_live_01,comment_reply_low_confidence,latest_live_01-RPLY00004,latest_live_01-SEM0010-000000322680,latest_live_01-COM00004,latest_live_01-RPLY00004|latest_live_01-COM00004|latest_live_01-SEM0010-000000322680|insufficient_source_evidence,comment_seen_but_causality_unproven,avoid_false_direct_reply,可泛化回应主题，但不得声称已直接回答该评论,no_direct_course_basis,neutral_idle,natural_explanatory,medium,true,manual_takeover_for_comment_specific_question,partial
latest_live_01-RULE0010,latest_live_01,comment_reply_low_confidence,latest_live_01-RPLY00005,latest_live_01-SEM0010-000000322680,latest_live_01-COM00005,latest_live_01-RPLY00005|latest_live_01-COM00005|latest_live_01-SEM0010-000000322680|insufficient_source_evidence,comment_seen_but_causality_unproven,avoid_false_direct_reply,可泛化回应主题，但不得声称已直接回答该评论,no_direct_course_basis,neutral_idle,natural_explanatory,medium,true,manual_takeover_for_comment_specific_question,partial
