domain,field_or_requirement,planned_standard,current_evidence,status,gap_id,remediation_lane,done_when
source,"10 source videos, hashes, metadata",all source videos locked by path/hash/duration,inventory_rows=10; manifest_rows=10,passed,,,source_hash_status remains unchanged for all 10 sessions
asr,ASR full transcription,all sessions have ASR evidence and event references,10/10 asr_status=succeeded; 7296 host_speech events,partial,GAP-AUDIO-001,audio_source_classification,"each ASR segment has audio_source_type, speaker_role, asr_quality, host_speech_usable"
asr,lyrics/background/other speaker separation,non-host audio excluded from host speech/course/rule layers,raw ASR exists but no committed classification fields,missing,GAP-AUDIO-002,audio_source_classification,song/background/platform/other_speaker segments are labelled and excluded from host_speech_usable=true
event,semantic event segmentation,events represent topic/comment/reply/course/sales/action transitions,"event_type counts are host_speech=7296, comment=302, multimodal_window=138",partial,GAP-EVENT-001,semantic_segmentation,ASR sentence events are merged/split into semantic events with transition markers
schema,event schema compliance and approval gate,schema_version/source_video/source_hash/source_duration/privacy/manual_review/idempotency and machine approval are present,baseline event rows predate final schema and first pass skipped 5.6 pilot approval gate,missing,GAP-CONTRACT-001,contract_preflight,"5.5 pilot has locked schema migration, source hashes, checkpoint/resume plan and disjoint write scopes before full remediation"
vision,full timeline visual coverage,base scan plus dense scan covers comment/action lifecycle,138 windows * 8s; about 2.7%-3.0% per session,invalid,GAP-VISION-001,qwen_vl_base_dense_scan,60s base scan exists for all sessions and dense windows cover detected comment/action changes
comment,comment OCR lifecycle,"first_seen,last_seen,dedup,redacted_text,intent,risk,status",302 comment events from sparse vision windows; no lifecycle tracking fields,partial,GAP-COMMENT-001,comment_tracking_redaction,"comments have redacted stable ids, first/last seen, dedup group, intent/risk and final_state"
reply,comment-reply causality,direct/merged/prompted/topic_only/unanswered/insufficient evidence,candidate_pending_review=134/134,invalid,GAP-REPLY-001,reply_causality_arbitration,high-value relations have evidence spans and non-causal topic-only links are downgraded
action,observable action fields,"action, expression, gaze, posture, gesture, courseware interaction per key event",observed_action filled 135/7434,missing,GAP-ACTION-001,visual_action_extraction,key events have observed values or explicit not_observable with evidence_ref
prosody,pace/pause/volume/emphasis/emotion,prosody measured or observed with confidence,prosody_label filled 7431/7434 but pause_before empty across baseline,partial,GAP-PROSODY-001,prosody_feature_extraction,"speaker events include speaking_rate, pause_before/after, emphasis and confidence"
course,course alignment,source_ref-backed direct/rewritten/case/comment-driven/no_match labels,topic_similarity_only=7251/7251,invalid,GAP-COURSE-001,course_alignment_cleanup,obvious wrong matches removed; no_match allowed; exact source blocked if full transcript source missing
brain_rule,live brain rule traceability,"rule binds event_id, trigger evidence, user state, course/action/prosody basis and risk",rules=133; unique_templates=1; event_id_field_present=False,invalid,GAP-RULE-001,brain_rule_regeneration,rules are regenerated from validated events and no duplicated template batch remains
manual_review,risk-weighted review queue,"review after agent arbitration, ranked by risk/uncertainty","per_session_counts={'latest_live_01': 80, 'latest_live_02': 80, 'latest_live_03': 80, 'latest_live_04': 80, 'latest_live_05': 80, 'latest_live_06': 80, 'latest_live_07': 80, 'latest_live_08': 80, 'latest_live_09': 80, 'latest_live_10': 80}",invalid,GAP-REVIEW-001,manual_review_prioritization,"review queue is generated from unresolved high-risk gaps, not fixed 80 per session"
